user_id,item_id,item_name,item_rank,item_score,iteration,critiqued_keyphrase,target_rank,num_existing_keyphrases,result,theta,critiqued_keyphrase_name
0.0,78.0,,,,0.0,,1.0,87.0,,,
0.0,78.0,,169.0,0.6929303614222286,1.0,191.0,1.0,87.0,,"[1.0, 1.0]",frozen
0.0,78.0,,294.0,0.46073165395565696,2.0,114.0,1.0,87.0,,"[1.0, 1.0, 1.0]",tomato
0.0,78.0,,382.0,0.450962726035126,3.0,171.0,1.0,87.0,,"[1.0, 1.0, 1.0, 1.0]",fancy
0.0,78.0,,466.0,0.5031769462091282,4.0,102.0,1.0,87.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]",cheesecake
0.0,78.0,,519.0,0.5135392417350875,5.0,148.0,1.0,87.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",mall
0.0,78.0,,7089.0,-0.4119617378590835,6.0,156.0,1.0,87.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",soggy
0.0,78.0,,7015.0,-0.36759907791758506,7.0,77.0,1.0,87.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",pop
0.0,78.0,,6408.0,-0.17292796377166003,8.0,55.0,1.0,87.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",meat
0.0,78.0,,1466.0,0.2641614423149662,9.0,207.0,1.0,87.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",stuffed
0.0,78.0,,7295.0,-1.107209943540039,10.0,221.0,1.0,87.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",dietary restriction
0.0,78.0,,7247.0,-0.9738927226121579,11.0,35.0,1.0,87.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",crispy
0.0,78.0,,7257.0,-1.0024610868423856,12.0,120.0,1.0,87.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",wing
0.0,78.0,,7208.0,-0.8887928630161288,13.0,87.0,1.0,87.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",tart
0.0,78.0,,964.0,0.7034789787733299,14.0,142.0,1.0,87.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",window
0.0,78.0,,832.0,0.8180666094299665,15.0,43.0,1.0,87.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",cake
